species,lon,lat
Akodon montensis,-43.3622,-19.8261
Akodon montensis,-43.6697,-19.88
Akodon montensis,-43.8067,-19.8864
Akodon montensis,-46.8231,-19.9222
Akodon montensis,-43.1742,-19.9292
Akodon montensis,-43.49,-19.95
Akodon montensis,-43.4153,-19.9594
Akodon montensis,-43.85,-19.99
Akodon montensis,-44.1447,-20.0353
Akodon montensis,-43.4075,-20.0747
Akodon montensis,-44.1997,-20.1433
Akodon montensis,-43.8014,-20.2533
Akodon montensis,-40.3378,-20.3194
Akodon montensis,-43.4161,-20.3778
Akodon montensis,-42.9086,-20.4164
Akodon montensis,-43.86,-20.5
Akodon montensis,-47.84,-20.52
Akodon montensis,-46.5614,-21.7878
Akodon montensis,-42.69,-22.05
Akodon montensis,-42.7333,-22.2
Akodon montensis,-47.8,-22.27
Akodon montensis,-42.53,-22.28
Akodon montensis,-55.3105,-22.2802
Akodon montensis,-55.315,-22.3489
Akodon montensis,-42.88,-22.38
Akodon montensis,-47.9,-22.39
Akodon montensis,-42.98,-22.44
Akodon montensis,-44.8492,-22.5494
Akodon montensis,-44.05,-22.58
Akodon montensis,-45.1667,-22.6
Akodon montensis,-43.84,-22.65
Akodon montensis,-46.91,-22.74
Akodon montensis,-47.06,-22.9
Akodon montensis,-45.2914,-23.1722
Akodon montensis,-46.92,-23.23
Akodon montensis,-46.0003,-23.2494
Akodon montensis,-51.05,-23.27
Akodon montensis,-45.3836,-23.2711
Akodon montensis,-51.1628,-23.3103
Akodon montensis,-45.125,-23.3583
Akodon montensis,-46.35,-23.37
Akodon montensis,-47.6281,-23.4353
Akodon montensis,-46.4711,-23.6461
Akodon montensis,-46.9203,-23.6517
Akodon montensis,-47.0672,-23.6939
Akodon montensis,-46.9568,-23.6958
Akodon montensis,-49.61,-23.7
Akodon montensis,-47.1147,-23.7281
Akodon montensis,-47.06,-23.75
Akodon montensis,-47.01,-23.78
Akodon montensis,-47.41,-23.82
Akodon montensis,-47.99,-23.87
Akodon montensis,-47.99,-24.07
Akodon montensis,-49.3333,-24.1667
Akodon montensis,-47.9197,-24.38
Akodon montensis,-49.9264,-24.5728
Akodon montensis,-49.1428,-24.7131
Akodon montensis,-49.22,-25.29
Akodon montensis,-49.0553,-25.3056
Akodon montensis,-49.05,-25.39
Akodon montensis,-48.918,-25.439
Akodon montensis,-49.06,-25.44
Akodon montensis,-54.4617,-25.6278
Akodon montensis,-54.6667,-25.6333
Akodon montensis,-56.9167,-25.6667
Akodon montensis,-54.1667,-25.6747
Akodon montensis,-54.3193,-25.6803
Akodon montensis,-54.4368,-25.7483
Akodon montensis,-49.3261,-25.7789
Akodon montensis,-54.359,-25.79
Akodon montensis,-54.307,-25.852
Akodon montensis,-49.32,-25.93
Akodon montensis,-54.2562,-25.9371
Akodon montensis,-54.115,-25.976
Akodon montensis,-54.0669,-25.9926
Akodon montensis,-54.106,-26.044
Akodon montensis,-53.85,-26.05
Akodon montensis,-53.7167,-26.1333
Akodon montensis,-55.7737,-26.2689
Akodon montensis,-59.37,-26.3
Akodon montensis,-55.5155,-26.3473
Akodon montensis,-55.8042,-26.5204
Akodon montensis,-54.0917,-26.6089
Akodon montensis,-54.7667,-26.6167
Akodon montensis,-54.8,-26.6833
Akodon montensis,-53.7436,-26.7647
Akodon montensis,-55.0167,-26.8
Akodon montensis,-54.4085,-26.8845
Akodon montensis,-54.5,-26.9833
Akodon montensis,-55.45,-27.0167
Akodon montensis,-55.0095,-27.0473
Akodon montensis,-53.9243,-27.1375
Akodon montensis,-51.78,-27.15
Akodon montensis,-54.0261,-27.2095
Akodon montensis,-54.65,-27.2667
Akodon montensis,-56.053,-27.3717
Akodon montensis,-55.39,-27.453
Akodon montensis,-48.53,-27.72
Akodon montensis,-48.8,-27.7333
Akodon montensis,-48.8333,-27.8667
Akodon montensis,-55.759,-27.903
Akodon montensis,-55.6732,-28.0556
Akodon montensis,-50.5836,-29.4481
Akodon montensis,-50.2072,-29.4856
Akodon montensis,-53.72,-29.67
Amazona brasiliensis,-46.5,-23.8667
Amazona brasiliensis,-46.2,-23.8833
Amazona brasiliensis,-46.7979,-24.0139
Amazona brasiliensis,-46.7176,-24.0148
Amazona brasiliensis,-46.6887,-24.0707
Amazona brasiliensis,-46.8739,-24.0983
Amazona brasiliensis,-46.6501,-24.1175
Amazona brasiliensis,-46.765,-24.1176
Amazona brasiliensis,-46.9167,-24.1357
Amazona brasiliensis,-46.8106,-24.1572
Amazona brasiliensis,-46.95,-24.1698
Amazona brasiliensis,-46.891,-24.1756
Amazona brasiliensis,-46.9025,-24.2344
Amazona brasiliensis,-46.9525,-24.2531
Amazona brasiliensis,-47.2368,-24.2796
Amazona brasiliensis,-46.9956,-24.3173
Amazona brasiliensis,-47.0231,-24.3647
Amazona brasiliensis,-47.25,-24.45
Amazona brasiliensis,-47.8333,-24.5
Amazona brasiliensis,-47.2677,-24.5528
Amazona brasiliensis,-47.5,-24.6667
Amazona brasiliensis,-47.553,-24.7012
Amazona brasiliensis,-47.8487,-24.7082
Amazona brasiliensis,-47.5722,-24.7472
Amazona brasiliensis,-47.6478,-24.7937
Amazona brasiliensis,-47.7017,-24.8241
Amazona brasiliensis,-48.2126,-24.8642
Amazona brasiliensis,-48.3667,-24.8833
Amazona brasiliensis,-47.85,-24.8833
Amazona brasiliensis,-47.9287,-24.8904
Amazona brasiliensis,-47.7794,-24.9085
Amazona brasiliensis,-47.9834,-24.9522
Amazona brasiliensis,-47.9075,-24.9576
Amazona brasiliensis,-47.9232,-25.0035
Amazona brasiliensis,-48.1167,-25.0667
Amazona brasiliensis,-47.9167,-25.0833
Amazona brasiliensis,-47.9667,-25.1333
Amazona brasiliensis,-48.2998,-25.1711
Amazona brasiliensis,-48.0498,-25.201
Amazona brasiliensis,-47.9981,-25.2102
Amazona brasiliensis,-48.0553,-25.2561
Amazona brasiliensis,-48.0985,-25.2941
Amazona brasiliensis,-48.4625,-25.3159
Amazona brasiliensis,-48.8758,-25.3634
Amazona brasiliensis,-48.7487,-25.4363
Amazona brasiliensis,-49.6236,-25.5848
Amazona brasiliensis,-48.4928,-25.5872
Amazona brasiliensis,-48.56,-25.5935
Amazona brasiliensis,-48.5,-25.6333
Amazona brasiliensis,-48.4309,-25.6402
Amazona brasiliensis,-48.4732,-25.6981
Amazona brasiliensis,-48.5582,-25.8045
Amazona brasiliensis,-48.7013,-25.8617
Amazona brasiliensis,-48.6133,-25.9089
Brotogeris tirica,-34.8456,-7.8818
Brotogeris tirica,-34.9203,-8.0343
Brotogeris tirica,-34.9629,-8.065
Brotogeris tirica,-36.377,-8.1328
Brotogeris tirica,-36.4197,-8.342
Brotogeris tirica,-36.0255,-8.3695
Brotogeris tirica,-35.0343,-8.5556
Brotogeris tirica,-35.1245,-8.575
Brotogeris tirica,-35.17,-8.6564
Brotogeris tirica,-35.1181,-8.6581
Brotogeris tirica,-35.8741,-8.6678
Brotogeris tirica,-35.8525,-8.7173
Brotogeris tirica,-35.176,-8.7309
Brotogeris tirica,-35.7983,-8.7317
Brotogeris tirica,-35.8864,-8.8803
Brotogeris tirica,-35.8667,-9.0061
Brotogeris tirica,-36.0879,-9.1699
Brotogeris tirica,-35.8796,-9.2254
Brotogeris tirica,-35.8422,-9.2526
Brotogeris tirica,-35.9222,-9.2581
Brotogeris tirica,-35.9401,-9.3029
Brotogeris tirica,-36.5937,-9.3129
Brotogeris tirica,-35.7167,-9.3667
Brotogeris tirica,-35.6218,-9.5469
Brotogeris tirica,-35.8036,-9.64
Brotogeris tirica,-39.0205,-9.9441
Brotogeris tirica,-39.2216,-10.6989
Brotogeris tirica,-39.1737,-11.594
Brotogeris tirica,-41.2147,-11.934
Brotogeris tirica,-41.2257,-12.0117
Brotogeris tirica,-37.6941,-12.106
Brotogeris tirica,-40.07,-12.42
Brotogeris tirica,-38.7989,-12.5547
Brotogeris tirica,-38.5397,-12.5774
Brotogeris tirica,-38.0135,-12.5794
Brotogeris tirica,-42.04,-12.6271
Brotogeris tirica,-41.4212,-12.7448
Brotogeris tirica,-38.356,-12.9195
Brotogeris tirica,-38.9628,-13.2721
Brotogeris tirica,-39.0411,-13.2868
Brotogeris tirica,-39.1581,-13.6208
Brotogeris tirica,-39.1389,-13.7334
Brotogeris tirica,-39.1705,-13.8196
Brotogeris tirica,-39.9055,-13.8585
Brotogeris tirica,-39.601,-13.8647
Brotogeris tirica,-40.1049,-13.8661
Brotogeris tirica,-39.1592,-13.8781
Brotogeris tirica,-39.7142,-13.8854
Brotogeris tirica,-39.9561,-13.8969
Brotogeris tirica,-39.1801,-13.9261
Brotogeris tirica,-39.4099,-14.0398
Brotogeris tirica,-39.6613,-14.0543
Brotogeris tirica,-39.6939,-14.1027
Brotogeris tirica,-39.0168,-14.1037
Brotogeris tirica,-39.7416,-14.1285
Brotogeris tirica,-39.2943,-14.133
Brotogeris tirica,-39.0124,-14.1606
Brotogeris tirica,-39.8148,-14.1696
Brotogeris tirica,-39.3183,-14.1816
Brotogeris tirica,-39.6479,-14.1936
Brotogeris tirica,-39.1153,-14.2006
Brotogeris tirica,-39.045,-14.2065
Brotogeris tirica,-39.1742,-14.2532
Brotogeris tirica,-39.0694,-14.2686
Brotogeris tirica,-38.9946,-14.2795
Brotogeris tirica,-39.0966,-14.3352
Brotogeris tirica,-39.9106,-14.3421
Brotogeris tirica,-39.0322,-14.3427
Brotogeris tirica,-39.162,-14.35
Brotogeris tirica,-40.2254,-14.3689
Brotogeris tirica,-39.0277,-14.3876
Brotogeris tirica,-40.1345,-14.4132
Brotogeris tirica,-39.0541,-14.4265
Brotogeris tirica,-40.0796,-14.4368
Brotogeris tirica,-39.1358,-14.4922
Brotogeris tirica,-39.1429,-14.5425
