species,lon,lat
Akodon_montensis,-43.36,-19.83
Akodon_montensis,-43.67,-19.88
Akodon_montensis,-43.81,-19.89
Akodon_montensis,-46.82,-19.92
Akodon_montensis,-43.17,-19.93
Akodon_montensis,-43.49,-19.95
Akodon_montensis,-43.42,-19.96
Akodon_montensis,-43.85,-19.99
Akodon_montensis,-44.14,-20.04
Akodon_montensis,-43.41,-20.07
Akodon_montensis,-44.2,-20.14
Akodon_montensis,-43.8,-20.25
Akodon_montensis,-40.34,-20.32
Akodon_montensis,-43.42,-20.38
Akodon_montensis,-42.91,-20.42
Akodon_montensis,-43.86,-20.5
Akodon_montensis,-47.86,-20.51
Akodon_montensis,-47.84,-20.52
Akodon_montensis,-46.56,-21.79
Akodon_montensis,-42.65,-22.03
Akodon_montensis,-42.69,-22.05
Akodon_montensis,-42.73,-22.2
Akodon_montensis,-47.76,-22.26
Akodon_montensis,-47.8,-22.27
Akodon_montensis,-55.31,-22.28
Akodon_montensis,-42.53,-22.28
Akodon_montensis,-55.32,-22.35
Akodon_montensis,-47.88,-22.36
Akodon_montensis,-47.87,-22.36
Akodon_montensis,-42.88,-22.38
Akodon_montensis,-47.9,-22.39
Akodon_montensis,-42.98,-22.41
Akodon_montensis,-42.98,-22.44
Akodon_montensis,-44.86,-22.54
Akodon_montensis,-44.85,-22.55
Akodon_montensis,-44.05,-22.58
Akodon_montensis,-43.84,-22.65
Akodon_montensis,-46.91,-22.74
Akodon_montensis,-47.06,-22.9
Akodon_montensis,-45.29,-23.17
Akodon_montensis,-46.9,-23.23
Akodon_montensis,-46.92,-23.23
Akodon_montensis,-46,-23.25
Akodon_montensis,-51.05,-23.27
Akodon_montensis,-45.38,-23.27
Akodon_montensis,-51.16,-23.31
Akodon_montensis,-46.36,-23.37
Akodon_montensis,-46.35,-23.37
Akodon_montensis,-47.63,-23.44
Akodon_montensis,-46.88,-23.63
Akodon_montensis,-45.13,-23.63
Akodon_montensis,-46.92,-23.65
Akodon_montensis,-46.47,-23.65
Akodon_montensis,-47.04,-23.68
Akodon_montensis,-46.96,-23.68
Akodon_montensis,-47.07,-23.69
Akodon_montensis,-47.08,-23.69
Akodon_montensis,-47.09,-23.69
Akodon_montensis,-47.08,-23.7
Akodon_montensis,-49.61,-23.7
Akodon_montensis,-46.96,-23.7
Akodon_montensis,-46.95,-23.71
Akodon_montensis,-47.09,-23.71
Akodon_montensis,-47.1,-23.71
Akodon_montensis,-47.07,-23.71
Akodon_montensis,-47.07,-23.72
Akodon_montensis,-47.11,-23.72
Akodon_montensis,-47.09,-23.72
Akodon_montensis,-47.06,-23.73
Akodon_montensis,-47.11,-23.73
Akodon_montensis,-47.06,-23.73
Akodon_montensis,-47.06,-23.74
Akodon_montensis,-47.06,-23.75
Akodon_montensis,-47.09,-23.76
Akodon_montensis,-47.05,-23.77
Akodon_montensis,-47.01,-23.78
Akodon_montensis,-47.41,-23.82
Akodon_montensis,-47.99,-23.87
Akodon_montensis,-47.99,-24.07
Akodon_montensis,-47.92,-24.38
Akodon_montensis,-47.05,-24.42
Akodon_montensis,-49.93,-24.57
Akodon_montensis,-49.14,-24.71
Akodon_montensis,-49.22,-25.29
Akodon_montensis,-49.06,-25.31
Akodon_montensis,-49.05,-25.39
Akodon_montensis,-49.06,-25.44
Akodon_montensis,-54.46,-25.63
Akodon_montensis,-49.33,-25.78
Akodon_montensis,-49.32,-25.93
Akodon_montensis,-51.78,-27.15
Akodon_montensis,-48.53,-27.72
Akodon_montensis,-48.8,-27.73
Akodon_montensis,-48.83,-27.87
Akodon_montensis,-50.58,-29.45
Akodon_montensis,-50.21,-29.49
Akodon_montensis,-53.72,-29.67
Akodon_montensis,-40.3378,-20.3194
Akodon_montensis,-55.315,-22.3489
Akodon_montensis,-55.31,-22.2797
Akodon_montensis,-42.8833,-22.3833
Akodon_montensis,-46.5614,-21.7878
Akodon_montensis,-46.5614,-21.7878
Akodon_montensis,-43.8578,-20.4997
Akodon_montensis,-42.9086,-20.4164
Akodon_montensis,-43.4161,-20.3778
Akodon_montensis,-43.8014,-20.2533
Akodon_montensis,-44.1997,-20.1433
Akodon_montensis,-43.4075,-20.0747
Akodon_montensis,-43.4075,-20.0747
Akodon_montensis,-44.1447,-20.0353
Akodon_montensis,-43.8467,-19.9856
Akodon_montensis,-43.8467,-19.9856
Akodon_montensis,-43.4153,-19.9594
Akodon_montensis,-43.4872,-19.9458
Akodon_montensis,-43.1742,-19.9292
Akodon_montensis,-46.8231,-19.9222
Akodon_montensis,-43.8067,-19.8864
Akodon_montensis,-43.6697,-19.88
Akodon_montensis,-43.3622,-19.8261
Akodon_montensis,-54.4617,-25.6278
Akodon_montensis,-49.3167,-25.9333
Akodon_montensis,-49.3261,-25.7789
Akodon_montensis,-49.0633,-25.4417
Akodon_montensis,-49.0483,-25.3922
Akodon_montensis,-49.0483,-25.3922
Akodon_montensis,-49.0553,-25.3056
Akodon_montensis,-49.2242,-25.2917
Akodon_montensis,-49.1428,-24.7131
Akodon_montensis,-49.9264,-24.5728
Akodon_montensis,-51.1628,-23.3103
Akodon_montensis,-51.0481,-23.2692
Akodon_montensis,-43.8397,-22.6528
Akodon_montensis,-44.0542,-22.5822
Akodon_montensis,-42.9783,-22.4367
Akodon_montensis,-42.98,-22.41
Akodon_montensis,-42.5311,-22.2819
Akodon_montensis,-42.7333,-22.2
Akodon_montensis,-42.6892,-22.0461
Akodon_montensis,-42.65,-22.0333
Akodon_montensis,-53.7167,-29.6667
Akodon_montensis,-50.2072,-29.4856
Akodon_montensis,-50.5836,-29.4481
Akodon_montensis,-48.8333,-27.8667
Akodon_montensis,-48.8,-27.7333
Akodon_montensis,-48.5333,-27.7167
Akodon_montensis,-51.7833,-27.15
Akodon_montensis,-47.05,-24.4167
Akodon_montensis,-47.9197,-24.38
Akodon_montensis,-47.9873,-24.0697
Akodon_montensis,-47.99,-23.87
Akodon_montensis,-47.4089,-23.8219
Akodon_montensis,-47.0069,-23.7767
Akodon_montensis,-47.0457,-23.7679
Akodon_montensis,-47.0917,-23.7611
Akodon_montensis,-47.0553,-23.75
Akodon_montensis,-47.0645,-23.7441
Akodon_montensis,-47.0581,-23.7348
Akodon_montensis,-47.1147,-23.7281
Akodon_montensis,-47.063,-23.7251
Akodon_montensis,-47.0722,-23.7245
Akodon_montensis,-47.1137,-23.7154
Akodon_montensis,-47.0877,-23.715
Akodon_montensis,-46.9454,-23.7149
Akodon_montensis,-47.0925,-23.7149
Akodon_montensis,-47.1009,-23.7102
Akodon_montensis,-47.0721,-23.7083
Akodon_montensis,-47.081,-23.7017
Akodon_montensis,-49.6109,-23.7001
Akodon_montensis,-46.9568,-23.6958
Akodon_montensis,-47.0672,-23.6939
Akodon_montensis,-47.076,-23.6928
Akodon_montensis,-47.0924,-23.6898
Akodon_montensis,-47.0367,-23.6806
Akodon_montensis,-46.9589,-23.6755
Akodon_montensis,-46.9203,-23.6517
Akodon_montensis,-46.4711,-23.6461
Akodon_montensis,-46.8833,-23.6333
Akodon_montensis,-47.6281,-23.4353
Akodon_montensis,-47.6281,-23.4353
Akodon_montensis,-46.3633,-23.3731
Akodon_montensis,-46.3536,-23.3672
Akodon_montensis,-45.125,-23.3583
Akodon_montensis,-45.3836,-23.2711
Akodon_montensis,-46.0003,-23.2494
