species,lon,lat
Akodon_montensis,-43.3622,-19.8261
Akodon_montensis,-43.6697,-19.8800
Akodon_montensis,-43.8067,-19.8864
Akodon_montensis,-46.8231,-19.9222
Akodon_montensis,-43.1742,-19.9292
Akodon_montensis,-43.4900,-19.9500
Akodon_montensis,-43.4153,-19.9594
Akodon_montensis,-43.8500,-19.9900
Akodon_montensis,-44.1447,-20.0353
Akodon_montensis,-43.4075,-20.0747
Akodon_montensis,-44.1997,-20.1433
Akodon_montensis,-43.8014,-20.2533
Akodon_montensis,-40.3378,-20.3194
Akodon_montensis,-43.4161,-20.3778
Akodon_montensis,-42.9086,-20.4164
Akodon_montensis,-43.8600,-20.5000
Akodon_montensis,-47.8400,-20.5200
Akodon_montensis,-46.5614,-21.7878
Akodon_montensis,-42.6900,-22.0500
Akodon_montensis,-42.7333,-22.2000
Akodon_montensis,-47.8000,-22.2700
Akodon_montensis,-42.5300,-22.2800
Akodon_montensis,-55.3105,-22.2802
Akodon_montensis,-55.3150,-22.3489
Akodon_montensis,-42.8800,-22.3800
Akodon_montensis,-47.9000,-22.3900
Akodon_montensis,-42.9800,-22.4400
Akodon_montensis,-44.8492,-22.5494
Akodon_montensis,-44.0500,-22.5800
Akodon_montensis,-45.1667,-22.6000
Akodon_montensis,-43.8400,-22.6500
Akodon_montensis,-46.9100,-22.7400
Akodon_montensis,-47.0600,-22.9000
Akodon_montensis,-45.2914,-23.1722
Akodon_montensis,-46.9200,-23.2300
Akodon_montensis,-46.0003,-23.2494
Akodon_montensis,-51.0500,-23.2700
Akodon_montensis,-45.3836,-23.2711
Akodon_montensis,-51.1628,-23.3103
Akodon_montensis,-45.1250,-23.3583
Akodon_montensis,-46.3500,-23.3700
Akodon_montensis,-47.6281,-23.4353
Akodon_montensis,-46.4711,-23.6461
Akodon_montensis,-46.9203,-23.6517
Akodon_montensis,-47.0672,-23.6939
Akodon_montensis,-46.9568,-23.6958
Akodon_montensis,-49.6100,-23.7000
Akodon_montensis,-47.1147,-23.7281
Akodon_montensis,-47.0600,-23.7500
Akodon_montensis,-47.0100,-23.7800
Akodon_montensis,-47.4100,-23.8200
Akodon_montensis,-47.9900,-23.8700
Akodon_montensis,-47.9900,-24.0700
Akodon_montensis,-49.3333,-24.1667
Akodon_montensis,-47.9197,-24.3800
Akodon_montensis,-49.9264,-24.5728
Akodon_montensis,-49.1428,-24.7131
Akodon_montensis,-49.2200,-25.2900
Akodon_montensis,-49.0553,-25.3056
Akodon_montensis,-49.0500,-25.3900
Akodon_montensis,-48.9180,-25.4390
Akodon_montensis,-49.0600,-25.4400
Akodon_montensis,-54.4617,-25.6278
Akodon_montensis,-54.6667,-25.6333
Akodon_montensis,-56.9167,-25.6667
Akodon_montensis,-54.1667,-25.6747
Akodon_montensis,-54.3193,-25.6803
Akodon_montensis,-54.4368,-25.7483
Akodon_montensis,-49.3261,-25.7789
Akodon_montensis,-54.3590,-25.7900
Akodon_montensis,-54.3070,-25.8520
Akodon_montensis,-49.3200,-25.9300
Akodon_montensis,-54.2562,-25.9371
Akodon_montensis,-54.1150,-25.9760
Akodon_montensis,-54.0669,-25.9926
Akodon_montensis,-54.1060,-26.0440
Akodon_montensis,-53.8500,-26.0500
Akodon_montensis,-53.7167,-26.1333
Akodon_montensis,-55.7737,-26.2689
Akodon_montensis,-59.3700,-26.3000
Akodon_montensis,-55.5155,-26.3473
Akodon_montensis,-55.8042,-26.5204
Akodon_montensis,-54.0917,-26.6089
Akodon_montensis,-54.7667,-26.6167
Akodon_montensis,-54.8000,-26.6833
Akodon_montensis,-53.7436,-26.7647
Akodon_montensis,-55.0167,-26.8000
Akodon_montensis,-54.4085,-26.8845
Akodon_montensis,-54.5000,-26.9833
Akodon_montensis,-55.4500,-27.0167
Akodon_montensis,-55.0095,-27.0473
Akodon_montensis,-53.9243,-27.1375
Akodon_montensis,-51.7800,-27.1500
Akodon_montensis,-54.0261,-27.2095
Akodon_montensis,-54.6500,-27.2667
Akodon_montensis,-56.0530,-27.3717
Akodon_montensis,-55.3900,-27.4530
Akodon_montensis,-48.5300,-27.7200
Akodon_montensis,-48.8000,-27.7333
Akodon_montensis,-48.8333,-27.8667
Akodon_montensis,-55.7590,-27.9030
Akodon_montensis,-55.6732,-28.0556
Akodon_montensis,-50.5836,-29.4481
Akodon_montensis,-50.2072,-29.4856
Akodon_montensis,-53.7200,-29.6700
Amazona_brasiliensis,-46.5000,-23.8667
Amazona_brasiliensis,-46.2000,-23.8833
Amazona_brasiliensis,-46.7979,-24.0139
Amazona_brasiliensis,-46.7176,-24.0148
Amazona_brasiliensis,-46.6887,-24.0707
Amazona_brasiliensis,-46.8739,-24.0983
Amazona_brasiliensis,-46.6501,-24.1175
Amazona_brasiliensis,-46.7650,-24.1176
Amazona_brasiliensis,-46.9167,-24.1357
Amazona_brasiliensis,-46.8106,-24.1572
Amazona_brasiliensis,-46.9500,-24.1698
Amazona_brasiliensis,-46.8910,-24.1756
Amazona_brasiliensis,-46.9025,-24.2344
Amazona_brasiliensis,-46.9525,-24.2531
Amazona_brasiliensis,-47.2368,-24.2796
Amazona_brasiliensis,-46.9956,-24.3173
Amazona_brasiliensis,-47.0231,-24.3647
Amazona_brasiliensis,-47.2500,-24.4500
Amazona_brasiliensis,-47.8333,-24.5000
Amazona_brasiliensis,-47.2677,-24.5528
Amazona_brasiliensis,-47.5000,-24.6667
Amazona_brasiliensis,-47.5530,-24.7012
Amazona_brasiliensis,-47.8487,-24.7082
Amazona_brasiliensis,-47.5722,-24.7472
Amazona_brasiliensis,-47.6478,-24.7937
Amazona_brasiliensis,-47.7017,-24.8241
Amazona_brasiliensis,-48.2126,-24.8642
Amazona_brasiliensis,-48.3667,-24.8833
Amazona_brasiliensis,-47.8500,-24.8833
Amazona_brasiliensis,-47.9287,-24.8904
Amazona_brasiliensis,-47.7794,-24.9085
Amazona_brasiliensis,-47.9834,-24.9522
Amazona_brasiliensis,-47.9075,-24.9576
Amazona_brasiliensis,-47.9232,-25.0035
Amazona_brasiliensis,-48.1167,-25.0667
